Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
32549848,25,7.63,-2.19,16.27
32610904,25,7.63,-2.19,16.17
32671944,25,7.63,-2.19,16.32
32732976,25,7.63,-2.19,16.24
32794032,25,7.63,-2.19,16.27
32855080,25,7.63,-2.19,16.36
32916116,25,7.63,-2.19,16.27
32977172,25,7.63,-2.19,16.25
33038208,25,7.63,-2.19,16.34
33099260,25,7.63,-2.19,16.39
33160312,25,7.63,-2.19,16.38
33221356,25,7.63,-2.19,16.47
33282412,25,7.63,-2.19,16.40
33343456,25,7.63,-2.19,16.54
33404516,25,7.63,-2.19,16.50
33465564,25,7.63,-2.19,16.60
33526612,25,7.63,-2.19,16.57
33587672,25,7.63,-2.19,16.46
33648712,25,7.63,-2.19,16.76
33709764,25,7.63,-2.19,16.41
33770816,25,7.63,-2.19,16.64
33831860,25,7.63,-2.19,16.66
33892912,25,7.63,-2.19,16.68
33953964,25,8.17,-2.19,16.59
34015012,25,8.17,-2.19,16.70
34076064,25,8.17,-2.19,16.72
34137104,25,8.17,-2.19,16.80
34198148,25,8.17,-2.19,16.70
34259212,25,8.17,-2.19,16.77
34320252,25,8.17,-2.19,16.74
34381308,25,8.17,-2.19,16.82
34442352,25,8.17,-2.19,16.83
34503400,25,8.17,-2.19,16.88
34564452,25,8.17,-2.19,17.05
34625488,25,8.17,-2.19,16.96
34686548,25,8.17,-2.19,16.84
34747592,25,8.17,-2.19,16.99
34808640,25,8.17,-2.19,16.92
34869692,25,8.17,-2.19,16.98
34930744,25,8.17,-2.19,16.97
34991776,25,8.17,-2.19,17.14
35052832,25,8.17,-2.19,17.12
35113876,25,8.17,-2.19,17.05
35174928,25,8.17,-2.19,17.17
35235984,25,8.17,-2.19,17.25
35297024,25,8.17,-2.19,17.20
35358076,25,8.17,-2.19,17.16
35419124,25,8.17,-2.19,17.19
35480176,25,8.17,-2.19,17.10
35541228,25,8.17,-2.19,17.20
35602276,25,8.17,-2.19,17.29
35663332,25,8.17,-2.19,17.31
35724368,25,8.17,-2.19,17.24
35785404,25,8.17,-2.19,17.32
35846464,25,8.17,-2.19,17.31
35907512,25,8.17,-2.19,17.26
35968572,25,8.17,-2.19,17.51
36029616,25,8.17,-2.19,17.48
36090664,25,8.17,-2.19,17.38
36151720,25,8.17,-2.19,17.52
36212768,25,8.17,-2.19,17.35
36273812,25,8.17,-2.19,17.52
36334872,25,8.17,-2.19,17.38
